,word,fre,len,ps,level,difficulty
46,mid,1,3,"('mid', 'JJ')",0,6.65100912925829
47,nor,1,3,"('nor', 'CC')",0,6.65100912925829
48,paw,1,3,"('paw', 'JJ')",0,6.65100912925829
49,pin,1,3,"('pin', 'NNS')",0,2.4107605147210442
50,pop,1,3,"('pop', 'VBP')",0,2.4107605147210442
51,quo,1,3,"('quo', 'NN')",0,6.65100912925829
52,ram,1,3,"('ram', 'NN')",0,6.65100912925829
53,raw,1,3,"('raw', 'JJ')",0,6.65100912925829
54,red,1,3,"('red', 'JJ')",0,6.65100912925829
55,rid,1,3,"('rid', 'JJ')",0,6.65100912925829
56,row,1,3,"('row', 'NN')",0,6.65100912925829
57,sad,1,3,"('sad', 'JJ')",0,6.65100912925829
58,sex,1,3,"('sex', 'NN')",0,6.65100912925829
59,sin,1,3,"('sin', 'VBD')",0,2.4107605147210442
60,sky,1,3,"('sky', 'JJ')",0,6.65100912925829
61,ten,1,3,"('ten', 'VBD')",0,2.4107605147210442
62,top,1,3,"('top', 'JJ')",0,6.65100912925829
63,ups,1,3,"('ups', 'JJ')",0,6.65100912925829
64,won,1,3,"('won', 'VBD')",0,2.4107605147210442
65,ask,2,3,"('ask', 'NN')",0,6.644035406528026
66,bad,2,3,"('bad', 'JJ')",0,6.644035406528026
67,bed,2,3,"('bed', 'VBD')",0,2.4037867919907807
68,cut,2,3,"('cut', 'VBN')",0,2.4037867919907807
69,dog,2,3,"('dog', 'NN')",0,6.644035406528026
70,era,2,3,"('era', 'NN')",0,6.644035406528026
71,eye,2,3,"('eye', 'NN')",0,6.644035406528026
72,fit,2,3,"('fit', 'NN')",0,6.644035406528026
73,hut,2,3,"('hut', 'JJ')",0,6.644035406528026
74,law,2,3,"('law', 'NN')",0,6.644035406528026
75,lie,2,3,"('lie', 'VB')",0,6.644035406528026
76,low,2,3,"('low', 'JJ')",0,6.644035406528026
77,map,2,3,"('map', 'VBZ')",0,2.4037867919907807
78,pay,2,3,"('pay', 'NN')",0,6.644035406528026
79,pen,2,3,"('pen', 'VB')",0,6.64403540652¸¸8026
80,ran,2,3,"('ran', 'VBD')",0,2.4037867919907807
81,sea,2,3,"('sea', 'NN')",0,6.644035406528026
82,sip,2,3,"('sip', 'JJ')",0,6.644035406528026
83,six,2,3,"('six', 'CD')",0,6.644035406528026
84,zoo,2,3,"('zoo', 'VBP')",0,2.4037867919907807
85,add,3,3,"('add', 'VB')",0,6.637061683797768
86,boy,3,3,"('boy', 'NN')",0,6.637061683797768
87,eat,3,3,"('eat', 'JJ')",0,6.637061683797768
88,god,3,3,"('god', 'JJ')",0,6.637061683797768
89,ice,3,3,"('ice', 'NN')",0,6.637061683797768
90,lit,3,3,"('lit', 'JJ')",1,6.637061683797768
91,sit,3,3,"('sit', 'NN')",0,6.637061683797768
92,son,3,3,"('son', 'NN')",0,6.637061683797768
93,yes,3,3,"('yes', 'RB')",0,6.637061683797768
94,ago,4,3,"('ago', 'RB')",0,6.63008796106751
95,aim,4,3,"('aim', 'VBD')",0,2.3898393465302648
96,arm,4,3,"('arm', 'JJ')",0,6.63008796106751
97,cow,4,3,"('cow', 'VB')",0,6.63008796106751
98,tom,4,3,"('tom', 'NN')",0,6.63008796106751
99,gun,5,3,"('gun', 'NN')",0,6.623114238337246
100,job,5,3,"('job', 'NN')",0,6.623114238337246
101,led,5,3,"('led', 'VBD')",0,2.382865623800001
102,pre,5,3,"('pre', 'JJ')",0,6.623114238337246
103,sub,5,3,"('sub', 'NN')",0,6.623114238337246
104,try,5,3,"('try', 'NN')",0,6.623114238337246
106,non,6,3,"('non', 'NNS')",0,2.375891901069749
107,roy,6,3,"('roy', 'NN')",0,6.616140515606994
108,etc,7,3,"('etc', 'NN')",0,6.609166792876731
109,get,7,3,"('get', 'VBP')",0,2.3689181783394853
110,met,7,3,"('met', 'VBD')",0,2.3689181783394853
111,act,8,3,"('act', 'VB')",0,6.602193070146472
112,big,8,3,"('big', 'JJ')",0,6.602193070146472
113,die,8,3,"('die', 'VB')",0,6.602193070146472
114,got,8,3,"('got', 'VBD')",0,2.361944455609227
115,let,8,3,"('let', 'JJR')",0,2.361944455609227
116,saw,8,3,"('saw', 'NNS')",0,2.361944455609227
117,off,9,3,"('off', 'IN')",0,6.595219347416215
118,run,9,3,"('run', 'VB')",0,6.595219347416215
119,few,10,3,"('few', 'JJ')",0,6.5882456246859515
120,put,10,3,"('put', 'NN')",0,6.5882456246859515
121,too,10,3,"('too', 'RB')",0,6.5882456246859515
122,yet,10,3,"('yet', 'RB')",0,6.5882456246859515
123,due,11,3,"('due', 'JJ')",0,6.581271901955693
124,far,11,3,"('far', 'RB')",0,6.581271901955693
125,age,12,3,"('age', 'NN')",0,6.574298179225435
126,why,13,3,"('why', 'WRB')",0,2.3270758419579316
127,men,16,3,"('men', 'NNS')",0,2.3061546737671526
128,now,16,3,"('now', 'RB')",0,6.546403288304398
129,end,17,3,"('end', 'NN')",0,6.53942956557414
130,old,17,3,"('old', 'JJ')",0,6.53942956557414
131,set,18,3,"('set', 'VBN')",0,2.292207228306636
132,art,20,3,"('art', 'NN')",0,6.518508397383361
133,did,20,3,"('did', 'VBD')",0,2.278259782846115
134,use,20,3,"('use', 'NN')",0,6.518508397383361
135,own,22,3,"('own', 'JJ')",0,6.504560951922844
136,day,23,3,"('day', 'NN')",0,6.497587229192586
137,war,23,3,"('war', 'NN')",0,6.497587229192586
138,say,24,3,"('say', 'VBP')",0,2.250364891925083
139,see,24,3,"('see', 'VBP')",0,2.250364891925083
140,way,32,3,"('way', 'NN')",0,6.434823724620253
141,how,33,3,"('how', 'WRB')",0,2.18760138735275
142,air,38,3,"('air', 'NN')",0,6.392981388238694
143,any,38,3,"('any', 'DT')",0,6.392981388238694
144,two,40,3,"('two', 'CD')",0,6.379033942778179
145,our,41,3,"('our', 'PRP$')",0,-2.1084370090265594
146,man,42,3,"('man', 'NN')",0,6.365086497317662
147,out,45,3,"('out', 'IN')",0,6.3441653291268825
148,may,46,3,"('may', 'MD')",0,6.337191606396625
149,new,59,3,"('new', 'JJ')",0,6.2465332109032605
150,you,62,3,"('you', 'PRP')",0,1.9853634281752353
151,has,71,3,"('has', 'VBZ')",0,1.9225999236029023
152,had,72,3,"('had', 'VBD')",0,1.9156262008726443
153,she,73,3,"('she', 'PRP')",0,1.9086524781423808
154,who,73,3,"('who', 'WP')",0,6.148901092679626
155,its,79,3,"('its', 'PRP$')",0,-2.3734384727764013
156,can,80,3,"('can', 'MD')",0,6.100085033567815
157,one,82,3,"('one', 'CD')",0,6.086137588107299
158,all,89,3,"('all', 'DT')",0,6.037321528995488
159,him,89,3,"('him', 'PRP')",0,1.797072914458242
160,but,120,3,"('but', 'CC')",0,5.8211361243574515
161,are,130,3,"('are', 'VBP')",0,1.5111502825176149
162,her,138,3,"('her', 'PRP$')",0,-2.7848881138616943
163,not,149,3,"('not', 'RB')",0,5.618898165179936
164,his,189,3,"('his', 'PRP$')",0,-3.1405479731049066
165,was,203,3,"('was', 'VBD')",0,1.002068523208699
166,for,216,3,"('for', 'IN')",0,5.1516587422525735
167,and,945,3,"('and', 'CC')",0,0.06781487189367885
168,the,2410,3,"('the', 'DT')",0,-10.148688927935922
169,aged,1,4,"('aged', 'VBN')",0,5.381045270166501
170,alms,1,4,"('alms', 'NNS')",0,5.381045270166501
171,arid,1,4,"('arid', 'JJ')",2,9.621293884703736
172,asia,1,4,"('asia', 'NN')",0,9.621293884703736
173,bald,1,4,"('bald', 'IN')",1,9.621293884703736
174,bank,1,4,"('bank', 'NN')",0,9.621293884703736
175,beam,1,4,"('beam', 'NN')",0,9.621293884703736
176,beer,1,4,"('beer', 'NN')",1,9.621293884703736
177,bias,1,4,"('bias', 'VBP')",0,5.381045270166501
178,bird,1,4,"('bird', 'NN')",0,9.621293884703736
179,blue,1,4,"('blue', 'JJ')",0,9.621293884703736
180,bore,1,4,"('bore', 'NN')",0,9.621293884703736
181,calm,1,4,"('calm', 'NN')",0,9.621293884703736
182,cart,1,4,"('cart', 'JJ')",0,9.621293884703736
183,cave,1,4,"('cave', 'VBP')",0,5.381045270166501
184,cell,1,4,"('cell', 'NN')",0,9.621293884703736
185,club,1,4,"('club', 'NN')",0,9.621293884703736
186,code,1,4,"('code', 'NN')",0,9.621293884703736
187,cope,1,4,"('cope', 'NN')",0,9.621293884703736
188,cows,1,4,"('cows', 'NNS')",0,5.381045270166501
189,cult,1,4,"('cult', 'NN')",1,9.621293884703736
190,cure,1,4,"('cure', 'NN')",0,9.621293884703736
191,damn,1,4,"('damn', 'NN')",0,9.621293884703736
192,dare,1,4,"('dare', 'NN')",0,9.621293884703736
193,dash,1,4,"('dash', 'NN')",1,9.621293884703736
194,dawn,1,4,"('dawn', 'NN')",0,9.621293884703736
195,dear,1,4,"('dear', 'JJ')",0,9.621293884703736
196,debt,1,4,"('debt', 'NN')",0,9.621293884703736
197,deer,1,4,"('deer', 'NN')",0,9.621293884703736
198,dies,1,4,"('dies', 'NNS')",0,5.381045270166501
199,dire,1,4,"('dire', 'NN')",0,9.621293884703736
200,draw,1,4,"('draw', 'RB')",0,9.621293884703736
201,drug,1,4,"('drug', 'NN')",0,9.621293884703736
202,ears,1,4,"('ears', 'NNS')",0,5.381045270166501
203,ease,1,4,"('ease', 'VBP')",0,5.381045270166501
204,edge,1,4,"('edge', 'NN')",0,9.621293884703736
205,else,1,4,"('else', 'RB')",0,9.621293884703736
206,evil,1,4,"('evil', 'JJ')",0,9.621293884703736
207,ezra,1,4,"('ezra', 'JJ')",0,9.621293884703736
208,fare,1,4,"('fare', 'NN')",1,9.621293884703736
209,farm,1,4,"('farm', 'NN')",0,9.621293884703736
210,fate,1,4,"('fate', 'NN')",0,9.621293884703736
211,feat,1,4,"('feat', 'NN')",0,9.621293884703736
212,feed,1,4,"('feed', 'VBP')",0,5.381045270166501
213,fell,1,4,"('fell', 'VBD')",0,5.381045270166501
214,fine,1,4,"('fine', 'JJ')",0,9.621293884703736
215,fish,1,4,"('fish', 'VBD')",0,5.381045270166501
216,flaw,1,4,"('flaw', 'NN')",0,9.621293884703736
217,foam,1,4,"('foam', 'NN')",0,9.621293884703736
218,fool,1,4,"('fool', 'JJ')",0,9.621293884703736
219,foot,1,4,"('foot', 'NN')",0,9.621293884703736
220,gear,1,4,"('gear', 'JJ')",0,9.621293884703736
221,gift,1,4,"('gift', 'JJ')",0,9.621293884703736
222,glad,1,4,"('glad', 'JJ')",0,9.621293884703736
223,goal,1,4,"('goal', 'NN')",0,9.621293884703736
224,god,1,4,"('god', 'NN')",0,1.140796655629256
225,grab,1,4,"('grab', 'NN')",0,9.621293884703736
226,hast,1,4,"('hast', 'NN')",1,9.621293884703736
227,head,1,4,"('head', 'VBN')",0,5.381045270166501
228,heat,1,4,"('heat', 'NN')",0,9.621293884703736
229,hell,1,4,"('hell', 'NN')",0,9.621293884703736
230,hide,1,4,"('hide', 'RB')",0,9.621293884703736
231,hind,1,4,"('hind', 'NN')",0,9.621293884703736
232,hive,1,4,"('hive', 'VBP')",0,5.381045270166501
233,hone,1,4,"('hone', 'NN')",1,9.621293884703736
234,hour,1,4,"('hour', 'NN')",0,9.621293884703736
235,hurt,1,4,"('hurt', 'NN')",0,9.621293884703736
236,hymn,1,4,"('hymn', 'NN')",1,9.621293884703736
238,jail,1,4,"('jail', 'JJ')",0,9.621293884703736
239,jean,1,4,"('jean', 'JJ')",0,9.621293884703736
240,jeep,1,4,"('jeep', 'NN')",0,9.621293884703736
241,joke,1,4,"('joke', 'VBD')",0,5.381045270166501
242,kill,1,4,"('kill', 'NN')",0,9.621293884703736
243,lady,1,4,"('lady', 'JJ')",0,9.621293884703736
244,lamb,1,4,"('lamb', 'NN')",0,9.621293884703736
245,lash,1,4,"('lash', 'NN')",0,9.621293884703736
246,lend,1,4,"('lend', 'NN')",0,9.621293884703736
247,list,1,4,"('list', 'VBP')",0,5.381045270166501
248,live,1,4,"('live', 'JJ')",0,9.621293884703736
249,lock,1,4,"('lock', 'NN')",0,9.621293884703736
250,lose,1,4,"('lose', 'VB')",0,9.621293884703736
251,lotz,1,4,"('lotz', 'JJ')",0,9.621293884703736
252,lung,1,4,"('lung', 'NN')",0,9.621293884703736
253,mark,1,4,"('mark', 'NN')",0,9.621293884703736
254,mass,1,4,"('mass', 'NN')",0,9.621293884703736
255,mire,1,4,"('mire', 'NN')",2,9.621293884703736
256,neck,1,4,"('neck', 'NN')",0,9.621293884703736
257,nigh,1,4,"('nigh', 'JJ')",1,9.621293884703736
258,none,1,4,"('none', 'NN')",0,9.621293884703736
259,nose,1,4,"('nose', 'JJ')",0,9.621293884703736
260,owns,1,4,"('owns', 'VBZ')",0,5.381045270166501
261,pack,1,4,"('pack', 'NN')",0,9.621293884703736
262,palm,1,4,"('palm', 'NN')",0,9.621293884703736
263,pawn,1,4,"('pawn', 'NN')",1,9.621293884703736
264,peep,1,4,"('peep', 'JJ')",0,9.621293884703736
265,pent,1,4,"('pent', 'NN')",2,9.621293884703736
266,pick,1,4,"('pick', 'NN')",0,9.621293884703736
267,plug,1,4,"('plug', 'NN')",0,9.621293884703736
268,plum,1,4,"('plum', 'NN')",0,9.621293884703736
269,pole,1,4,"('pole', 'JJ')",0,9.621293884703736
270,race,1,4,"('race', 'NN')",0,9.621293884703736
271,rain,1,4,"('rain', 'NN')",0,9.621293884703736
272,rake,1,4,"('rake', 'NN')",2,9.621293884703736
273,rear,1,4,"('rear', 'JJ')",0,9.621293884703736
274,reel,1,4,"('reel', 'NN')",0,9.621293884703736
275,ride,1,4,"('ride', 'NN')",0,9.621293884703736
276,risk,1,4,"('risk', 'NN')",0,9.621293884703736
277,road,1,4,"('road', 'NN')",0,9.621293884703736
278,rock,1,4,"('rock', 'NN')",0,9.621293884703736
279,room,1,4,"('room', 'NN')",0,9.621293884703736
280,rosy,1,4,"('rosy', 'JJ')",0,9.621293884703736
281,rout,1,4,"('rout', 'NN')",0,9.621293884703736
282,ruin,1,4,"('ruin', 'NN')",0,9.621293884703736
283,sane,1,4,"('sane', 'NN')",0,9.621293884703736
284,save,1,4,"('save', 'VBP')",0,5.381045270166501
285,send,1,4,"('send', 'VBP')",0,5.381045270166501
286,sigh,1,4,"('sigh', 'JJ')",0,9.621293884703736
287,sign,1,4,"('sign', 'NN')",0,9.621293884703736
288,sine,1,4,"('sine', 'NN')",0,9.621293884703736
289,sing,1,4,"('sing', 'VBG')",0,5.381045270166501
290,sins,1,4,"('sins', 'NNS')",0,5.381045270166501
291,site,1,4,"('site', 'NN')",0,9.621293884703736
292,size,1,4,"('size', 'NN')",0,9.621293884703736
293,slag,1,4,"('slag', 'NN')",0,9.621293884703736
294,slum,1,4,"('slum', 'NN')",1,9.621293884703736
295,snow,1,4,"('snow', 'NN')",0,9.621293884703736
296,span,1,4,"('span', 'NN')",0,9.621293884703736
297,stop,1,4,"('stop', 'VB')",0,9.621293884703736
298,tied,1,4,"('tied', 'VBN')",0,5.381045270166501
299,tile,1,4,"('tile', 'NN')",0,9.621293884703736
300,tiny,1,4,"('tiny', 'JJ')",0,9.621293884703736
301,tone,1,4,"('tone', 'NN')",0,9.621293884703736
302,torn,1,4,"('torn', 'JJ')",0,9.621293884703736
303,trap,1,4,"('trap', 'NN')",0,9.621293884703736
304,trim,1,4,"('trim', 'JJ')",0,9.621293884703736
305,type,1,4,"('type', 'JJ')",0,9.621293884703736
306,urge,1,4,"('urge', 'NN')",0,9.621293884703736
307,vain,1,4,"('vain', 'VBP')",0,5.381045270166501
308,veil,1,4,"('veil', 'JJ')",0,9.621293884703736
309,vein,1,4,"('vein', 'JJ')",0,9.621293884703736
310,wall,1,4,"('wall', 'NN')",0,9.621293884703736
311,week,1,4,"('week', 'NN')",0,9.621293884703736
312,weld,1,4,"('weld', 'NN')",0,9.621293884703736
313,wins,1,4,"('wins', 'NNS')",0,5.381045270166501
314,wish,1,4,"('wish', 'JJ')",0,9.621293884703736
315,wits,1,4,"('wits', 'NNS')",1,5.381045270166501
316,woke,1,4,"('woke', 'VBD')",0,5.381045270166501
317,wood,1,4,"('wood', 'NN')",0,9.621293884703736
319,yarn,1,4,"('yarn', 'JJ')",1,9.621293884703736
324,anti,2,4,"('anti', 'VBP')",0,5.374071547436243
325,area,2,4,"('area', 'NN')",0,9.614320161973477
326,ball,2,4,"('ball', 'NN')",0,9.614320161973477
327,bear,2,4,"('bear', 'IN')",0,9.614320161973477
328,bind,2,4,"('bind', 'IN')",0,9.614320161973477
329,boat,2,4,"('boat', 'NN')",0,9.614320161973477
330,boys,2,4,"('boys', 'JJ')",0,9.614320161973477
331,cast,2,4,"('cast', 'VBD')",0,5.374071547436243
332,cats,2,4,"('cats', 'NNS')",0,5.374071547436243
333,chap,2,4,"('chap', 'NN')",0,9.614320161973477
334,city,2,4,"('city', 'NN')",0,9.614320161973477
335,coal,2,4,"('coal', 'NN')",0,9.614320161973477
336,core,2,4,"('core', 'NN')",0,9.614320161973477
337,deep,2,4,"('deep', 'JJ')",0,9.614320161973477
338,deny,2,4,"('deny', 'NN')",0,9.614320161973477
339,died,2,4,"('died', 'VBD')",0,5.374071547436243
340,dogs,2,4,"('dogs', 'VB')",0,9.614320161973477
341,ends,2,4,"('ends', 'VBZ')",0,5.374071547436243
342,epic,2,4,"('epic', 'NN')",0,9.614320161973477
343,ever,2,4,"('ever', 'RB')",0,9.614320161973477
344,fear,2,4,"('fear', 'NN')",0,9.614320161973477
345,firm,2,4,"('firm', 'NN')",2,9.614320161973477
346,gone,2,4,"('gone', 'VBN')",0,5.374071547436243
347,grey,2,4,"('grey', 'JJ')",0,9.614320161973477
348,grip,2,4,"('grip', 'JJ')",2,9.614320161973477
349,hair,2,4,"('hair', 'NN')",0,9.614320161973477
350,hips,2,4,"('hips', 'NNS')",0,5.374071547436243
351,hose,2,4,"('hose', 'JJ')",0,9.614320161973477
353,kane,2,4,"('kane', 'NN')",0,9.614320161973477
354,knew,2,4,"('knew', 'NNS')",0,5.374071547436243
355,laid,2,4,"('laid', 'VBN')",0,5.374071547436243
356,late,2,4,"('late', 'JJ')",0,9.614320161973477
357,lead,2,4,"('lead', 'VBP')",0,5.374071547436243
358,main,2,4,"('main', 'JJ')",0,9.614320161973477
359,mate,2,4,"('mate', 'NN')",0,9.614320161973477
360,mock,2,4,"('mock', 'NN')",1,9.614320161973477
361,mode,2,4,"('mode', 'VBD')",0,5.374071547436243
362,mood,2,4,"('mood', 'NN')",0,9.614320161973477
363,myth,2,4,"('myth', 'VB')",1,9.614320161973477
364,nice,2,4,"('nice', 'JJ')",0,9.614320161973477
365,onto,2,4,"('onto', 'IN')",0,9.614320161973477
366,oven,2,4,"('oven', 'RB')",0,9.614320161973477
367,owes,2,4,"('owes', 'JJ')",0,9.614320161973477
368,pain,2,4,"('pain', 'NN')",0,9.614320161973477
369,pass,2,4,"('pass', 'NN')",0,9.614320161973477
370,path,2,4,"('path', 'NN')",0,9.614320161973477
371,pied,2,4,"('pied', 'VBD')",0,5.374071547436243
372,safe,2,4,"('safe', 'JJ')",0,9.614320161973477
373,sake,2,4,"('sake', 'JJ')",0,9.614320161973477
374,scan,2,4,"('scan', 'JJ')",0,9.614320161973477
375,scar,2,4,"('scar', 'NN')",1,9.614320161973477
376,seem,2,4,"('seem', 'VBP')",0,5.374071547436243
377,shop,2,4,"('shop', 'NN')",0,9.614320161973477
378,soft,2,4,"('soft', 'JJ')",0,9.614320161973477
379,song,2,4,"('song', 'JJ')",0,9.614320161973477
380,sons,2,4,"('sons', 'NNS')",0,5.374071547436243
381,sort,2,4,"('sort', 'VBP')",0,5.374071547436243
382,star,2,4,"('star', 'NN')",0,9.614320161973477
383,sums,2,4,"('sums', 'JJ')",1,9.614320161973477
384,tear,2,4,"('tear', 'NN')",0,9.614320161973477
385,town,2,4,"('town', 'NN')",0,9.614320161973477
386,tree,2,4,"('tree', 'NN')",0,9.614320161973477
387,wait,2,4,"('wait', 'VBP')",0,5.374071547436243
388,wake,2,4,"('wake', 'NN')",0,9.614320161973477
389,want,2,4,"('want', 'VBP')",0,5.374071547436243
390,weak,2,4,"('weak', 'JJ')",0,9.614320161973477
391,wild,2,4,"('wild', 'WP')",0,9.614320161973477
392,wind,2,4,"('wind', 'VB')",0,9.614320161973477
393,year,2,4,"('year', 'NN')",0,9.614320161973477
394,aunt,3,4,"('aunt', 'RP')",0,9.607346439243214
395,beat,3,4,"('beat', 'NN')",0,9.607346439243214
396,bees,3,4,"('bees', 'NNS')",0,5.367097824705979
397,bill,3,4,"('bill', 'NN')",0,9.607346439243214
398,bond,3,4,"('bond', 'NN')",0,9.607346439243214
399,care,3,4,"('care', 'JJ')",0,9.607346439243214
400,cold,3,4,"('cold', 'VBD')",0,5.367097824705979
401,door,3,4,"('door', 'NN')",0,9.607346439243214
402,drew,3,4,"('drew', 'JJ')",1,9.607346439243214
403,duty,3,4,"('duty', 'NN')",0,9.607346439243214
404,easy,3,4,"('easy', 'JJ')",0,9.607346439243214
405,fast,3,4,"('fast', 'NN')",0,9.607346439243214
406,feet,3,4,"('feet', 'NNS')",0,5.367097824705979
407,five,3,4,"('five', 'CD')",0,9.607346439243214
408,four,3,4,"('four', 'CD')",0,9.607346439243214
409,frog,3,4,"('frog', 'NN')",0,9.607346439243214
410,gold,3,4,"('gold', 'RB')",0,9.607346439243214
411,grew,3,4,"('grew', 'VBD')",0,5.367097824705979
412,high,3,4,"('high', 'JJ')",0,9.607346439243214
414,keen,3,4,"('keen', 'JJ')",0,9.607346439243214
415,king,3,4,"('king', 'VBG')",0,5.367097824705979
416,lack,3,4,"('lack', 'RB')",0,9.607346439243214
417,lips,3,4,"('lips', 'NNS')",0,5.367097824705979
418,lord,3,4,"('lord', 'NN')",0,9.607346439243214
419,mary,3,4,"('mary', 'JJ')",0,9.607346439243214
420,meet,3,4,"('meet', 'NN')",0,9.607346439243214
421,near,3,4,"('near', 'IN')",0,9.607346439243214
422,news,3,4,"('news', 'NN')",0,9.607346439243214
423,note,3,4,"('note', 'NN')",0,9.607346439243214
424,obey,3,4,"('obey', 'NN')",0,9.607346439243214
425,open,3,4,"('open', 'JJ')",0,9.607346439243214
426,paid,3,4,"('paid', 'VBD')",0,5.367097824705979
427,pale,3,4,"('pale', 'JJ')",1,9.607346439243214
428,plot,3,4,"('plot', 'NN')",0,9.607346439243214
429,poor,3,4,"('poor', 'JJ')",0,9.607346439243214
430,rose,3,4,"('rose', 'VBD')",0,5.367097824705979
431,runs,3,4,"('runs', 'VBZ')",0,5.367097824705979
432,seek,3,4,"('seek', 'NN')",0,9.607346439243214
433,sled,3,4,"('sled', 'VBD')",0,5.367097824705979
434,sold,3,4,"('sold', 'VBD')",0,5.367097824705979
435,soul,3,4,"('soul', 'NN')",0,9.607346439243214
436,spot,3,4,"('spot', 'NN')",0,9.607346439243214
437,tale,3,4,"('tale', 'JJ')",1,9.607346439243214
438,thou,3,4,"('thou', 'NN')",0,9.607346439243214
439,tool,3,4,"('tool', 'NN')",0,9.607346439243214
440,turn,3,4,"('turn', 'NN')",0,9.607346439243214
441,walk,3,4,"('walk', 'VBP')",0,5.367097824705979
442,warm,3,4,"('warm', 'JJ')",0,9.607346439243214
444,acts,4,4,"('acts', 'NNS')",0,5.360124101975722
445,best,4,4,"('best', 'RB')",0,9.600372716512956
446,cake,4,4,"('cake', 'VB')",0,9.600372716512956
447,crew,4,4,"('crew', 'VBD')",0,5.360124101975722
448,cubs,4,4,"('cubs', 'JJ')",0,9.600372716512956
449,east,4,4,"('east', 'JJ')",0,9.600372716512956
450,fall,4,4,"('fall', 'NN')",0,9.600372716512956
451,felt,4,4,"('felt', 'RB')",0,9.600372716512956
452,film,4,4,"('film', 'NN')",0,9.600372716512956
453,flow,4,4,"('flow', 'NN')",0,9.600372716512956
454,folk,4,4,"('folk', 'NN')",1,9.600372716512956
455,full,4,4,"('full', 'JJ')",0,9.600372716512956
456,gain,4,4,"('gain', 'NN')",0,9.600372716512956
457,gang,4,4,"('gang', 'NN')",0,9.600372716512956
458,gets,4,4,"('gets', 'VBZ')",0,5.360124101975722
459,half,4,4,"('half', 'NN')",0,9.600372716512956
460,hero,4,4,"('hero', 'VBZ')",0,5.360124101975722
461,home,4,4,"('home', 'NN')",0,9.600372716512956
462,host,4,4,"('host', 'FW')",1,9.600372716512956
463,jump,4,4,"('jump', 'NN')",0,9.600372716512956
464,keep,4,4,"('keep', 'VB')",0,9.600372716512956
465,kept,4,4,"('kept', 'NN')",0,9.600372716512956
466,lies,4,4,"('lies', 'VBZ')",0,5.360124101975722
467,male,4,4,"('male', 'NN')",0,9.600372716512956
420,mere,4,4,"('mere', 'JJ')",2,9.600372716512956
456,page,4,4,"('page', 'NN')",0,9.600372716512956
471,plan,4,4,"('plan', 'NN')",1,9.600372716512956
480,post,4,4,"('post', 'NN')",0,9.600372716512956
520,sent,4,4,"('sent', 'JJ')",0,9.600372716512956
522,ship,4,4,"('ship', 'VBP')",1,5.360124101975722
525,side,4,4,"('side', 'NN')",0,9.600372716512956
