Statement,Prediction
Even though he doesn't like sweets he made a cake for his daughter's birthday,54.565
They were sad to say goodbye but excited for their new adventure,68.65249999999999
She didn't do well in the test but she's determined to improve,63.35607142857142
It was challenging but he managed to climb the mountain,75.1275
She has a blue car,10.73999999999996
My brother plays guitar,44.10249999999999
It is snowing outside,41.602499999999985
He is eating an apple,23.919999999999956
We go to school every day,51.794166666666655
I am drinking water,41.602499999999985
They have a dog and a cat,14.343571428571387
You are very smart,22.627499999999955
I live in a small town,14.827499999999972
The moon is full tonight,25.919999999999963
The tallest man in the room is my uncle,30.856666666666634
If it's sunny we can go to the beach,32.76749999999998
She is preparing for her final exams,66.28642857142856
They are decorating their house for Christmas,66.28642857142856
The lunch I packed was very satisfying,66.28642857142856
I exercise for thirty minutes every day,120.24357142857146
The woman singing in the choir is my aunt,38.17888888888888
We visited the aquarium yesterday,139.82000000000005
She prefers pineapple juice to grape juice,37.45785714285712
I am excited about my birthday party,75.70071428571427
Despite the strict deadline she completed the work with precision,82.7175
Even though I rehearsed the speech it still made me nervous,56.874090909090896
I can't decide if I should walk or take the bus to work,43.52035714285712
Given his passion for marine life he enjoys scuba diving,68.7175
After a long journey he finally reached his destination,93.67888888888889
The play was intriguing but the acting could have been better,61.04681818181815
Despite not being a fan of thrillers he watched the movie for his friends,52.93464285714284
They were anxious about the move but eager for a fresh start,48.99416666666666
Although she made a mistake she is determined to learn from it,60.31916666666665
The task was daunting but they managed to complete it successfully,86.29227272727273
I am wearing a red shirt,25.81083333333331
She is brushing her hair,23.919999999999956
They are reading books,25.12749999999997
We have a big family,53.099999999999966
He is driving a car,23.919999999999956
The sky is blue,8.65249999999996
My favorite color is green,68.27999999999999
I love to draw pictures,55.09999999999997
They are singing a song,23.919999999999956
You have a beautiful smile,53.099999999999966
The man in the blue shirt is my father,30.856666666666634
If the weather is nice we can have a picnic,38.35749999999998
He is training for a marathon,59.44416666666666
They are planning a surprise birthday party,56.28642857142856
The breakfast I made was very tasty,45.4435714285714
I meditate for fifteen minutes every morning,129.65785714285715
The boy playing guitar in the band is my nephew,40.35749999999999
We went to an amusement park last month,56.964999999999996
He prefers hot chocolate to coffee,62.7775
I am looking forward to the music concert,53.9525
Despite the setbacks she kept pursuing her dreams,46.96499999999999
Even though I reviewed the material the test was still challenging,88.4831818181818
I can't decide if I should wear the red dress or the blue one,46.00833333333331
Given his fascination with aviation he enjoys flying kites,102.11222222222224
After years of training he finally won the championship,77.92333333333333
The lecture was informative but the professor spoke too fast,82.7175
Despite not liking horror movies he went with his friends for the experience,73.39384615384614
They were apprehensive about the change but open to new possibilities,98.27409090909092
Although he didn't win he was glad to have participated,60.13772727272725
The problem was complex but they managed to find a solution,80.30136363636362
The grass is green,8.65249999999996
She is wearing a hat,23.919999999999956
I am listening to music,66.27999999999997
We live in a city,23.919999999999956
They are eating lunch,25.12749999999997
He is riding a bicycle,37.09999999999996
The cat is sleeping,25.12749999999997
I have a new book,10.73999999999996
You are playing soccer,25.12749999999997
They are studying for a test,24.14416666666664
I am walking to the park,24.14416666666664
He is cutting the grass,23.919999999999956
We are climbing a hill,23.919999999999956
They are watching a movie,23.919999999999956
I am baking a cake,23.919999999999956
The woman in the green dress is my mother,38.17888888888888
If the traffic is light we will be there soon,31.767499999999977
She is applying for a new job,26.614999999999952
They are arranging a charity event,96.41083333333334
The sandwich I made for lunch was delicious,55.71499999999999
I take a walk for an hour every evening,71.71222222222221
The girl dancing in the group is my daughter,38.17888888888888
We went to a music festival last week,56.964999999999996
She prefers strawberry ice cream to chocolate ice cream,79.03444444444446
I am excited about the book fair,56.87214285714283
The dog chasing its tail is mine,28.043571428571386
If you finish your homework you can play games,60.60111111111109
He is working on a science project,36.02928571428569
They are planning a trip to the mountains,36.22749999999998
The soup that she cooked was very comforting,62.7025
Despite the hurdles she persisted in her efforts,72.19
Even though I proofread the report there were still a few errors,49.82749999999999
I can't decide if I should buy a laptop or a desktop,49.724615384615376
Given his enthusiasm for wildlife he enjoys bird watching,78.5788888888889
After many attempts he finally mastered the recipe,99.91500000000002
The presentation was captivating but the speaker was a bit monotone,104.63772727272728
Despite not being an athlete he joined the marathon for fun,67.03772727272727
They were unsure about the journey but optimistic about the outcome,82.28318181818182
Even though she didn't reach her goal she was happy with her progress,47.51321428571427
The puzzle was tricky but they managed to solve it,53.947499999999984
Despite the weather conditions they went hiking,78.55785714285713
Even though I practiced the piano piece I still made mistakes,76.12863636363636
I can't decide if I should have tea or coffee,34.8922727272727
Given her love for outdoors she enjoys camping,55.20250000000001
After a lot of practice he finally learned the dance routine,67.94681818181817
She is cooking dinner,41.602499999999985
We are going to the zoo,13.1608333333333
They are painting the house,23.919999999999956
I am learning to play piano,36.79416666666664
The rose is beautiful,61.60249999999999
He is fixing the bike,23.919999999999956
You are doing a great job,13.1608333333333
They are growing vegetables,94.55250000000001
I am brushing my teeth,23.919999999999956
We are visiting our grandparents,95.46000000000001
The girl in the yellow dress is my friend,30.856666666666634
If the train is on time we will arrive by noon,34.89227272727269
He is preparing for a job interview,77.71499999999999
They are organizing a book club,61.11083333333333
The homemade pizza was delicious,110.64000000000001
I do yoga every afternoon,110.64000000000001
The boy solving the math problem is my son,39.28999999999999
We went to a flower show yesterday,58.300714285714264
He prefers grapefruit to oranges,110.64000000000001
I am eager to attend the science fair,37.477499999999985
Despite facing defeat he remained positive,121.71083333333337
Even though I followed the directions the dish didn't turn out as expected,84.9132142857143
I can't decide if I should take the bus or the subway,44.65538461538458
Given his interest in archaeology he enjoys visiting ancient ruins,119.07750000000003
After a lot of research she finally bought a house,53.94749999999999
The seminar was educational but the venue was too crowded,87.3075
Despite not being a swimmer he joined the water polo team,60.6740909090909
They were confused about the assignment but excited to learn new things,91.79416666666667
Even though she missed her target she was satisfied with her effort,65.81083333333333
The assignment was complicated but they managed to complete it on time,96.45250000000001
The cat is black,8.65249999999996
I have a big dog,10.73999999999996
The sky is clear,8.65249999999996
My mom is a nurse,10.73999999999996
You are very kind,22.627499999999955
We are at the beach,8.739999999999945
They love to dance,8.65249999999996
I like eating strawberries,80.57750000000001
He is fixing the computer,66.27999999999997
It is very cold outside,37.09999999999996
My father is tall,25.12749999999997
She has a pink dress,10.73999999999996
You have a nice car,10.73999999999996
They play football on Sundays,39.099999999999966
We live in a quiet neighborhood,50.127499999999976
I am reading a book,23.919999999999956
He is washing the car,23.919999999999956
The pizza is hot,25.12749999999997
I like to play piano,25.919999999999963
She is jumping on the trampoline,59.44416666666666
The moon is shining brightly,39.099999999999966
My shoes are dirty,25.12749999999997
The bird is flying high,12.73999999999996
I am making a sandwich,37.09999999999996
He loves playing video games,54.279999999999994
We are swimming in the pool,24.14416666666664
They are planting flowers,41.602499999999985
She is running very fast,37.09999999999996
You are driving a truck,23.919999999999956
My sister is a dancer,37.09999999999996
The fish is swimming in the water,36.02928571428569
I am taking a nap,23.919999999999956
They are watching a comedy show,61.11083333333333
We are climbing a tree,23.919999999999956
He is singing a song,23.919999999999956
The elephant is big,61.60249999999999
I am wearing glasses,41.602499999999985
You are learning Spanish,41.602499999999985
They are going to school,10.73999999999996
We are baking cookies,41.602499999999985
My brother is a pilot,37.09999999999996
I am going to the gym,13.1608333333333
The house is old,8.65249999999996
She is brushing her hair,23.919999999999956
He is studying for an exam,35.12749999999997
The soup is hot,8.65249999999996
They are playing chess,8.65249999999996
We are going on a trip,13.1608333333333
I am drawing a picture,37.09999999999996
You are very brave,22.627499999999955
The book is interesting,78.0775
I am feeding the birds,23.919999999999956
He is watching television,94.55250000000001
She is wearing a hat,23.919999999999956
We are making a snowman,37.09999999999996
They are riding bicycles,78.0775
The teacher is explaining the lesson,72.09416666666667
I am going to bed,10.73999999999996
The apple is sweet,8.65249999999996
He is writing a letter,37.09999999999996
She is knitting a sweater,37.09999999999996
We are listening to music,66.27999999999997
They are setting the table,23.919999999999956
I am brushing my teeth,23.919999999999956
The sun is setting,25.12749999999997
He is drinking coffee,25.12749999999997
She is walking the dog,23.919999999999956
We are cleaning the house,23.919999999999956
They are eating breakfast,41.602499999999985
The car is fast,8.65249999999996
I am folding the clothes,37.09999999999996
He is reading the newspaper,66.27999999999997
She is watering the plants,53.099999999999966
We are playing basketball,61.60249999999999
They are doing homework,59.10249999999998
The horse is running,25.12749999999997
I am drinking milk,25.12749999999997
He is taking a shower,37.09999999999996
She is opening the door,53.099999999999966
We are shopping for groceries,66.27999999999997
They are flying kites,25.12749999999997
The cake is delicious,61.60249999999999
I am painting a picture,37.09999999999996
He is cutting the grass,23.919999999999956
She is playing the violin,23.919999999999956
We are building a sandcastle,37.09999999999996
They are picking apples,41.602499999999985
The mountain is high,25.12749999999997
I am tying my shoes,10.73999999999996
He is wearing a mask,23.919999999999956
She is riding a horse,23.919999999999956
We are grilling burgers,41.602499999999985
They are cleaning their rooms,23.919999999999956
The river is flowing fast,39.099999999999966
I am petting the cat,23.919999999999956
He is shoveling the snow,53.099999999999966
She is playing the drums,10.73999999999996
We are throwing a party,37.09999999999996
They are climbing the mountain,37.09999999999996
The butterfly is colorful,114.55250000000002
I am a girl,6.152499999999954
You are a doctor,22.627499999999955
He is a student,22.627499999999955
She is a teacher,22.627499999999955
We are friends,3.8983333333332766
They are siblings,25.864999999999966
It is a dog,6.152499999999954
I am a boy,6.152499999999954
You are a nurse,6.152499999999954
He is a policeman,75.57749999999999
She is a pilot,22.627499999999955
We are classmates,74.4983333333333
They are musicians,74.4983333333333
It is a cat,6.152499999999954
I am a toddler,22.627499999999955
You are an engineer,59.10249999999998
He is a dentist,22.627499999999955
She is a chef,6.152499999999954
We are neighbors,25.864999999999966
They are athletes,74.4983333333333
It is a bird,6.152499999999954
I am a teenager,59.10249999999998
You are a scientist,22.627499999999955
He is a firefighter,75.57749999999999
She is a singer,22.627499999999955
We are cousins,25.864999999999966
They are actors,25.864999999999966
It is a fish,6.152499999999954
I am a child,6.152499999999954
You are a lawyer,22.627499999999955
He is a driver,22.627499999999955
She is a dancer,22.627499999999955
We are partners,25.864999999999966
They are painters,25.864999999999966
It is a horse,6.152499999999954
I am an adult,22.627499999999955
You are a builder,22.627499999999955
He is a farmer,22.627499999999955
She is a writer,22.627499999999955
We are teammates,74.4983333333333
They are twins,3.8983333333332766
It is a rabbit,22.627499999999955
I am a baby,22.627499999999955
You are a manager,59.10249999999998
He is a sailor,22.627499999999955
She is an artist,22.627499999999955
We are colleagues,74.4983333333333
They are chefs,3.8983333333332766
It is a turtle,6.152499999999954
I am a grandfather,59.10249999999998
You are a director,59.10249999999998
He is a soldier,22.627499999999955
She is a cashier,22.627499999999955
We are roommates,74.4983333333333
They are carpenters,74.4983333333333
It is a frog,6.152499999999954
I am a grandmother,59.10249999999998
You are a designer,59.10249999999998
He is a coach,6.152499999999954
She is a librarian,59.10249999999998
We are relatives,96.465
They are gardeners,74.4983333333333
It is a duck,6.152499999999954
I am a father,22.627499999999955
You are a photographer,75.57749999999999
He is a mechanic,59.10249999999998
She is a hairdresser,59.10249999999998
We are a family,59.10249999999998
They are soldiers,25.864999999999966
It is a chicken,22.627499999999955
I am a mother,22.627499999999955
You are a programmer,59.10249999999998
He is a postman,22.627499999999955
She is a baker,22.627499999999955
We are children,25.864999999999966
They are policemen,96.465
It is a squirrel,22.627499999999955
I am an uncle,6.152499999999954
You are an architect,59.10249999999998
He is a miner,22.627499999999955
She is a tailor,22.627499999999955
We are students,25.864999999999966
They are doctors,25.864999999999966
It is a mouse,6.152499999999954
I am an aunt,6.152499999999954
You are a journalist,59.10249999999998
He is a barber,22.627499999999955
She is a florist,22.627499999999955
We are teachers,25.864999999999966
They are engineers,74.4983333333333
It is a bear,6.152499999999954
I am a brother,22.627499999999955
You are a cashier,22.627499999999955
He is a plumber,22.627499999999955
She is a seamstress,22.627499999999955
We are policemen,96.465
They are pilots,25.864999999999966
It is a monkey,22.627499999999955
I am a sister,22.627499999999955
You are a pharmacist,59.10249999999998
I am tall,3.8983333333332766
You are short,3.8983333333332766
He is old,3.8983333333332766
She is young,3.8983333333332766
We are happy,25.864999999999966
They are sad,3.8983333333332766
It is big,3.8983333333332766
I am small,3.8983333333332766
You are fast,3.8983333333332766
He is slow,3.8983333333332766
She is strong,3.8983333333332766
We are tired,25.864999999999966
They are energetic,96.465
It is small,3.8983333333332766
I am sleepy,25.864999999999966
You are awake,25.864999999999966
He is angry,25.864999999999966
She is calm,3.8983333333332766
We are hungry,25.864999999999966
They are full,3.8983333333332766
It is heavy,25.864999999999966
I am light,3.8983333333332766
You are wet,3.8983333333332766
He is dry,3.8983333333332766
She is hot,3.8983333333332766
We are cold,3.8983333333332766
They are noisy,25.864999999999966
It is quiet,3.8983333333332766
I am busy,25.864999999999966
You are free,3.8983333333332766
He is sick,3.8983333333332766
She is healthy,25.864999999999966
We are brave,3.8983333333332766
They are scared,25.864999999999966
It is dangerous,74.4983333333333
I am safe,3.8983333333332766
You are generous,74.4983333333333
He is selfish,25.864999999999966
She is funny,25.864999999999966
We are serious,25.864999999999966
They are polite,25.864999999999966
It is rude,3.8983333333332766
I am rich,3.8983333333332766
You are poor,3.8983333333332766
He is famous,25.864999999999966
She is unknown,25.864999999999966
We are intelligent,96.465
They are foolish,25.864999999999966
It is smart,3.8983333333332766
I am dumb,3.8983333333332766
You are handsome,25.864999999999966
He is ugly,25.864999999999966
She is beautiful,74.4983333333333
We are ordinary,96.465
They are extraordinary,118.43166666666669
It is normal,25.864999999999966
I am weird,3.8983333333332766
You are normal,25.864999999999966
He is strange,3.8983333333332766
She is perfect,25.864999999999966
We are imperfect,74.4983333333333
They are wise,3.8983333333332766
It is foolish,25.864999999999966
I am clean,3.8983333333332766
You are dirty,25.864999999999966
He is neat,3.8983333333332766
She is messy,25.864999999999966
We are late,3.8983333333332766
They are early,25.864999999999966
It is on time,6.152499999999954
I am first,3.8983333333332766
You are last,3.8983333333332766
He is second,25.864999999999966
She is third,3.8983333333332766
We are fourth,3.8983333333332766
They are fifth,3.8983333333332766
It is sixth,3.8983333333332766
I am seventh,25.864999999999966
You are eighth,3.8983333333332766
He is ninth,3.8983333333332766
She is tenth,3.8983333333332766
We are winners,25.864999999999966
They are losers,25.864999999999966
It is a tie,6.152499999999954
I am right,3.8983333333332766
You are wrong,3.8983333333332766
He is left,3.8983333333332766
She is right,3.8983333333332766
We are up,0.5649999999999267
They are down,0.5649999999999267
It is far,3.8983333333332766
I am near,3.8983333333332766
You are here,0.5649999999999267
He is there,0.5649999999999267
She is inside,25.864999999999966
We are outside,25.864999999999966
They are above,22.531666666666617
It is below,22.531666666666617
I am open,25.864999999999966
You are closed,25.864999999999966
I am happy,25.864999999999966
You are sad,3.8983333333332766
He is excited,74.4983333333333
She is nervous,25.864999999999966
We are proud,3.8983333333332766
They are shy,3.8983333333332766
It is empty,25.864999999999966
I am full,3.8983333333332766
You are sick,3.8983333333332766
He is healthy,25.864999999999966
She is early,25.864999999999966
We are late,3.8983333333332766
They are ready,25.864999999999966
It is unprepared,96.465
I am big,3.8983333333332766
You are small,3.8983333333332766
He is tall,3.8983333333332766
She is short,3.8983333333332766
We are hot,3.8983333333332766
They are cold,3.8983333333332766
It is sunny,25.864999999999966
I am rainy,25.864999999999966
You are windy,25.864999999999966
He is stormy,25.864999999999966
She is calm,3.8983333333332766
We are wild,3.8983333333332766
They are peaceful,74.4983333333333
It is noisy,25.864999999999966
I am quiet,3.8983333333332766
You are loud,3.8983333333332766
He is silent,25.864999999999966
She is talkative,74.4983333333333
We are hungry,25.864999999999966
They are full,3.8983333333332766
It is delicious,74.4983333333333
I am nasty,25.864999999999966
You are sweet,3.8983333333332766
He is sour,3.8983333333332766
She is bitter,25.864999999999966
We are spicy,25.864999999999966
They are bland,3.8983333333332766
It is colourful,74.4983333333333
I am grey,3.8983333333332766
You are pink,3.8983333333332766
He is blue,3.8983333333332766
She is green,3.8983333333332766
We are red,3.8983333333332766
They are yellow,25.864999999999966
It is black,3.8983333333332766
I am white,3.8983333333332766
You are fast,3.8983333333332766
He is slow,3.8983333333332766
She is quick,3.8983333333332766
We are sluggish,25.864999999999966
They are swift,3.8983333333332766
It is delayed,25.864999999999966
I am prompt,3.8983333333332766
You are tardy,25.864999999999966
He is punctual,25.864999999999966
She is late,3.8983333333332766
We are timely,74.4983333333333
They are overdue,25.864999999999966
It is old,3.8983333333332766
I am new,3.8983333333332766
You are modern,25.864999999999966
He is ancient,25.864999999999966
She is outdated,74.4983333333333
We are current,25.864999999999966
They are futuristic,96.465
It is traditional,96.465
I am unique,25.864999999999966
You are common,25.864999999999966
He is special,25.864999999999966
She is regular,74.4983333333333
We are different,74.4983333333333
They are similar,74.4983333333333
It is identical,96.465
I am distinctive,74.4983333333333
You are normal,25.864999999999966
He is weird,3.8983333333332766
She is typical,74.4983333333333
We are peculiar,74.4983333333333
They are average,74.4983333333333
It is extraordinary,118.43166666666669
I am clean,3.8983333333332766
You are dirty,25.864999999999966
He is neat,3.8983333333332766
She is messy,25.864999999999966
We are organized,96.465
They are chaotic,25.864999999999966
It is tidy,25.864999999999966
I am cluttered,74.4983333333333
You are precise,25.864999999999966
He is vague,3.8983333333332766
She is clear,3.8983333333332766
We are confusing,74.4983333333333
They are explicit,74.4983333333333
It is ambiguous,74.4983333333333
I am obvious,25.864999999999966
You are obscure,25.864999999999966
I am quiet,3.8983333333332766
You are loud,3.8983333333332766
He is gentle,3.8983333333332766
She is rough,3.8983333333332766
We are easy,25.864999999999966
They are hard,3.8983333333332766
It is smooth,3.8983333333332766
I am rough,3.8983333333332766
You are light,3.8983333333332766
He is dark,3.8983333333332766
She is clear,3.8983333333332766
We are cloudy,25.864999999999966
They are bright,3.8983333333332766
It is dull,3.8983333333332766
I am sharp,3.8983333333332766
You are blunt,3.8983333333332766
He is smooth,3.8983333333332766
She is wrinkled,25.864999999999966
We are crisp,3.8983333333332766
They are soft,3.8983333333332766
It is hard,3.8983333333332766
I am flexible,25.864999999999966
You are stiff,3.8983333333332766
He is loose,3.8983333333332766
She is tight,3.8983333333332766
We are thick,3.8983333333332766
They are thin,3.8983333333332766
It is narrow,25.864999999999966
I am wide,3.8983333333332766
You are big,3.8983333333332766
He is small,3.8983333333332766
She is short,3.8983333333332766
We are long,3.8983333333332766
They are tiny,25.864999999999966
It is huge,3.8983333333332766
I am microscopic,96.465
You are giant,3.8983333333332766
He is miniature,74.4983333333333
She is large,3.8983333333332766
We are compact,25.864999999999966
They are spacious,25.864999999999966
It is cramped,25.864999999999966
I am crowded,25.864999999999966
You are empty,25.864999999999966
He is full,3.8983333333332766
She is abundant,74.4983333333333
We are scarce,3.8983333333332766
They are plenty,25.864999999999966
It is lacking,25.864999999999966
I am overflowing,96.465
You are sparse,3.8983333333332766
He is abundant,74.4983333333333
She is lacking,25.864999999999966
We are generous,74.4983333333333
They are stingy,25.864999999999966
It is abundant,74.4983333333333
I am few,0.5649999999999267
You are many,25.864999999999966
He is multiple,25.864999999999966
She is single,3.8983333333332766
We are double,3.8983333333332766
They are triple,3.8983333333332766
It is multiple,25.864999999999966
I am simple,3.8983333333332766
You are complex,25.864999999999966
He is easy,25.864999999999966
She is difficult,74.4983333333333
We are challenging,74.4983333333333
They are effortless,74.4983333333333
It is hard,3.8983333333332766
I am possible,25.864999999999966
You are impossible,74.4983333333333
He is probable,25.864999999999966
She is unlikely,96.465
We are certain,25.864999999999966
They are doubtful,25.864999999999966
It is likely,74.4983333333333
I am definite,74.4983333333333
You are uncertain,74.4983333333333
He is clear,3.8983333333332766
She is vague,3.8983333333332766
We are specific,74.4983333333333
They are general,74.4983333333333
It is detailed,74.4983333333333
I am brief,3.8983333333332766
You are long,3.8983333333332766
He is short,3.8983333333332766
She is lengthy,25.864999999999966
We are concise,25.864999999999966
They are verbose,25.864999999999966
It is succinct,25.864999999999966
I am wordy,25.864999999999966
You are laconic,74.4983333333333
He is talkative,74.4983333333333
She is quiet,3.8983333333332766
We are silent,25.864999999999966
They are noisy,25.864999999999966
It is soundless,25.864999999999966
I am loud,3.8983333333332766
You are soft,3.8983333333332766
He is high,3.8983333333332766
She is low,3.8983333333332766
We are deep,3.8983333333332766
They are shallow,25.864999999999966
It is surface,25.864999999999966
I am bottom,25.864999999999966
You are top,3.8983333333332766
He is middle,3.8983333333332766
She is end,3.8983333333332766
We are start,3.8983333333332766
They are finish,25.864999999999966
It is beginning,74.4983333333333
I am conclusion,74.4983333333333
You are commencement,96.465
He is termination,96.465
She is inception,74.4983333333333
We are cessation,74.4983333333333
They are introduction,96.465
It is closing,25.864999999999966
I am first,3.8983333333332766
You are last,3.8983333333332766
He is second,25.864999999999966
She is third,3.8983333333332766
We are fourth,3.8983333333332766
They are fifth,3.8983333333332766
It is sixth,3.8983333333332766
I am seventh,25.864999999999966
You are eighth,3.8983333333332766
He is ninth,3.8983333333332766
She is tenth,3.8983333333332766
We are eleventh,74.4983333333333
They are twelfth,3.8983333333332766
It is thirteenth,25.864999999999966
I am fourteenth,25.864999999999966
You are fifteenth,25.864999999999966
He is sixteenth,25.864999999999966
She is seventeenth,74.4983333333333
We are eighteenth,25.864999999999966
They are nineteenth,74.4983333333333
It is twentieth,25.864999999999966
I am twenty-first,22.460833333333298
You are twenty-second,38.93583333333331
He is twenty-third,22.460833333333298
She is twenty-fourth,22.460833333333298
We are twenty-fifth,22.460833333333298
They are twenty-sixth,22.460833333333298
It is twenty-seventh,38.93583333333331
I am twenty-eighth,22.460833333333298
You are twenty-ninth,22.460833333333298
He is thirtieth,25.864999999999966
She is thirty-first,22.460833333333298
We are thirty-second,38.93583333333331
They are thirty-third,22.460833333333298
It is thirty-fourth,22.460833333333298
I am thirty-fifth,22.460833333333298
You are thirty-sixth,22.460833333333298
He is thirty-seventh,38.93583333333331
She is thirty-eighth,22.460833333333298
We are thirty-ninth,22.460833333333298
They are fortieth,25.864999999999966
It is forty-first,22.460833333333298
I am forty-second,38.93583333333331
You are forty-third,22.460833333333298
He is forty-fourth,22.460833333333298
She is forty-fifth,22.460833333333298
We are forty-sixth,22.460833333333298
They are forty-seventh,38.93583333333331
It is forty-eighth,22.460833333333298
I am forty-ninth,22.460833333333298
You are fiftieth,25.864999999999966
He is fifty-first,22.460833333333298
She is fifty-second,38.93583333333331
We are fifty-third,22.460833333333298
They are fifty-fourth,22.460833333333298
It is fifty-fifth,22.460833333333298
I am fifty-sixth,22.460833333333298
You are fifty-seventh,38.93583333333331
He is fifty-eighth,22.460833333333298
She is fifty-ninth,22.460833333333298
We are sixtieth,25.864999999999966
They are sixty-first,22.460833333333298
It is sixty-second,38.93583333333331
I am sixty-third,22.460833333333298
You are sixty-fourth,22.460833333333298
He is sixty-fifth,22.460833333333298
She is sixty-sixth,22.460833333333298
We are sixty-seventh,38.93583333333331
They are sixty-eighth,22.460833333333298
It is sixty-ninth,22.460833333333298
I am seventieth,74.4983333333333
You are seventy-first,58.93583333333332
He is seventy-second,75.41083333333333
She is seventy-third,58.93583333333332
We are seventy-fourth,58.93583333333332
They are seventy-fifth,58.93583333333332
It is seventy-sixth,58.93583333333332
I am seventy-seventh,75.41083333333333
You are seventy-eighth,58.93583333333332
He is seventy-ninth,58.93583333333332
She is eightieth,25.864999999999966
I am standing in the park,24.14416666666664
You are reading a book on the beach,27.989999999999966
He is cooking dinner in the kitchen,45.4435714285714
She is playing soccer in the backyard,36.02928571428569
We are having a picnic in the park,34.97749999999998
They are watching a movie at the cinema,54.46499999999999
It is raining outside the window,47.777499999999996
I am walking my dog in the neighborhood,54.46499999999999
You are studying at the library,59.44416666666666
He is talking on the phone in his office,37.06777777777776
She is dancing at a party,35.12749999999997
We are swimming in the pool,24.14416666666664
They are hiking in the mountains,35.12749999999997
It is snowing on the mountain peak,36.02928571428569
I am eating breakfast in the dining room,45.71499999999999
You are writing a letter in your bedroom,44.46499999999998
He is driving a car on the highway,36.22749999999998
She is painting a picture in the art studio,45.501111111111086
We are playing board games in the living room,39.28999999999999
They are traveling to a new country,56.87214285714283
It is sunny at the beach,24.14416666666664
I am shopping at the mall,24.14416666666664
You are running in the park,24.14416666666664
He is playing the guitar in a band,27.989999999999966
She is taking photographs in the garden,66.28642857142856
We are cooking together in the kitchen,66.28642857142856
They are studying for exams at the library,62.7025
It is windy on top of the hill,27.989999999999966
I am attending a concert in the stadium,62.7025
